//pathID,initialposA,initialposB,mode,perfectRoundsTarget,resetpositionsA,resetpositionsB (mode options: AvtraceBwatch,AitraceBwatch,Avoting,Bvoting,bothVoting,BvtraceAwatch,BitraceAwatch,AvtraceBfollow,BvtraceAfollow)
4,0 0.0 -5,2 0.0 -5,ApindropBwatch,0,0|0.0|-5,2|0.0|-5
1,0.0 0.0 5.0,5.0 0.0 0.0,ApindropBwatch,0,0.0|0.0|5.0,1.75|0.0|4.25
1,-3.5 0.0 -3.5,-3.5 0.0 3.5,ApindropBwatch,0,0.0|0.0|5.0,1.75|0.0|4.25
1,0.0 0.0 -5.0,-5.0 0.0 0.0,ApindropBwatch,0,0.0|0.0|5.0,1.75|0.0|4.25
1,3.5 0.0 -3.5,-3.5 0.0 -3.5,ApindropBwatch,0,0.0|0.0|5.0,1.75|0.0|4.25
1,-3.5 0.0 -3.5,-3.5 0.0 3.5,ApindropBwatch,0,0.0|0.0|5.0,1.75|0.0|4.25
1,0.0 0.0 -5.0,-5.0 0.0 0.0,ApindropBwatch,0,0.0|0.0|5.0,1.75|0.0|4.25
1,-5.0 0.0 0.0,0.0 0.0 5.0,ApindropBwatch,0,0.0|0.0|5.0,1.75|0.0|4.25
1,3.5 0.0 -3.5,-3.5 0.0 -3.5,ApindropBwatch,0,0.0|0.0|5.0,1.75|0.0|4.25
1,-5.0 0.0 0.0,0.0 0.0 5.0,ApindropBwatch,0,0.0|0.0|5.0,1.75|0.0|4.25
1,-3.5 0.0 -3.5,-3.5 0.0 3.5,ApindropBwatch,0,0.0|0.0|5.0,1.75|0.0|4.25
1,0.0 0.0 -5.0,-5.0 0.0 0.0,ApindropBwatch,0,0.0|0.0|5.0,1.75|0.0|4.25
1,-3.5 0.0 3.5,3.5 0.0 3.5,ApindropBwatch,0,0.0|0.0|5.0,1.75|0.0|4.25
1,3.5 0.0 3.5,3.5 0.0 -3.5,ApindropBwatch,0,0.0|0.0|5.0,1.75|0.0|4.25
1,5.0 0.0 0.0,0.0 0.0 -5.0,ApindropBwatch,0,0.0|0.0|5.0,1.75|0.0|4.25
1,5.0 0.0 0.0,0.0 0.0 -5.0,ApindropBwatch,0,0.0|0.0|5.0,1.75|0.0|4.25
1,3.5 0.0 3.5,3.5 0.0 -3.5,ApindropBwatch,0,0.0|0.0|5.0,1.75|0.0|4.25
1,3.5 0.0 -3.5,-3.5 0.0 -3.5,ApindropBwatch,0,0.0|0.0|5.0,1.75|0.0|4.25
1,-5.0 0.0 0.0,0.0 0.0 5.0,ApindropBwatch,0,0.0|0.0|5.0,1.75|0.0|4.25
1,0.0 0.0 5.0,5.0 0.0 0.0,ApindropBwatch,0,0.0|0.0|5.0,1.75|0.0|4.25
1,3.5 0.0 3.5,3.5 0.0 -3.5,ApindropBwatch,0,0.0|0.0|5.0,1.75|0.0|4.25
